emotion,variation
anxiety,anxiety
anxiety,anxious
anxiety,anxiousness
anxiety,nervousness
anxiety,nervous
anxiety,uneasy
anxiety,apprehensive
anxiety,worried
anxiety,worrying
anxiety,distressed
anxiety,agitated
anxiety,tense
anxiety,restless
anxiety,troubled
anxiety,panicky
anxiety,panicking
anxiety,jittery
anxiety,on edge
anxiety,fretting
anxiety,alarmed
anxiety,fearful
anxiety,twitchy
anxiety,shaky
anxiety,jumpy
anxiety,edgy
anxiety,tight-chested
anxiety,heart racing
anxiety,sweaty palms
anxiety,ruminating
anxiety,second-guessing
anxiety,overthinking
stress,stress
stress,stressed
stress,stressful
stress,strain
stress,strained
stress,under pressure
stress,pressured
stress,overwhelmed
stress,tense
stress,tension
stress,taxed
stress,burdened
stress,distressed
stress,overloaded
stress,struggling
stress,exhausted
stress,drained
stress,burned out
stress,worn out
stress,fatigued
stress,mentally tired
stress,maxed out
stress,at capacity
stress,frazzled
stress,flustered
stress,irritable
stress,frustrated
stress,on edge
stress,close to breaking
stress,emotional exhaustion
confusion,confusion
confusion,confused
confusion,confusing
confusion,bewildered
confusion,perplexed
confusion,puzzled
confusion,baffled
confusion,disoriented
confusion,muddled
confusion,unclear
confusion,uncertain
confusion,misunderstanding
confusion,unsure
confusion,lost
confusion,mixed up
confusion,disorganized
confusion,bewilderment
confusion,perplexity
confusion,foggy
confusion,hazy
confusion,scatterbrained
confusion,dazed
confusion,flustered
confusion,mentally clouded
confusion,brain fog
confusion,can't think straight
confusion,confounded
hopeful,hopeful
hopeful,hope
hopeful,hoping
hopeful,optimistic
hopeful,positive
hopeful,encouraged
hopeful,upbeat
hopeful,expectant
hopeful,looking forward
hopeful,confident
hopeful,reassured
hopeful,promising
hopeful,enthusiastic
hopeful,anticipating
hopeful,cheered
hopeful,comforted
hopeful,sanguine
hopeful,bullish
hopeful,buoyant
hopeful,bright outlook
hopeful,feeling lucky
hopeful,glass half full
hopeful,seeing the light
hopeful,spirited
hopeful,high hopes
hopeful,faithful
fear,fear
fear,fearful
fear,fears
fear,afraid
fear,scared
fear,frightened
fear,terrified
fear,panicked
fear,petrified
fear,alarmed
fear,intimidated
fear,apprehensive
fear,dread
fear,dreading
fear,horror
fear,horrified
fear,terror
fear,panic
fear,fright
fear,phobia
fear,chills
fear,spooked
fear,trembling
fear,paralyzed with fear
fear,goosebumps
fear,jumpy
fear,shaken
fear,creeped out
fear,suspicious
fear,uneasy
fear,anxious
fear,tense
